RF001	Refund Request - Cancelled Showing	I purchased tickets for the April 8 showing of The Grand Illusion but the event was cancelled without notice. I would like a full refund.	2026-04-08T10:30	C101	SS001	High	CLOSED	TXN20260405001	45.0
RF002	Duplicate Charge on Credit Card	I was charged twice for the same booking. My credit card statement clearly shows two identical transactions on April 7.	2026-04-08T14:15	C102	SS002	Critical	CLOSED	TXN20260407005	50.0
RF003	Broken Seat Refund Request	The seat I was assigned to (Row C, Seat 12) was physically broken and I could not use it for the entire show. Requesting a refund.	2026-04-09T09:45	C103	SS001	Medium	CLOSED	TXN20260409003	30.0
RF004	Refund - Wrong Movie Booked	I accidentally purchased tickets for the wrong movie. I booked Interstellar but wanted Avatar. Can I get a refund?	2026-04-12T08:30	C104	SS002	Medium	CLOSED	TXN20260412001	55.0
RF005	Refund Request - Overcharged	I was charged RM500 but the ticket should only cost RM90. There seems to be an error in the pricing system.	2026-04-14T11:20	C109	SS003	Critical	CLOSED	TXN20260414002	500.0
RF006	Refund - Event Postponed	The theater sent an email saying the event I booked has been postponed by 3 months. I would prefer a refund instead.	2026-04-15T14:00	C101	SS001	Medium	OPEN	TXN20260415003	75.0
RF007	Refund for Wrong Seat Tier	I paid for Premium seating but was assigned a Standard seat. Requesting the price difference as a refund.	2026-04-17T04:25	C111	SS002	High	OPEN	TXN20260417001	3999.0
RF008	Refund for Wrong Movie	I got the ticket for the wrong movie. I would like to ask for a refund.	2026-04-18T02:05	C112	SS001	High	CLOSED	TXN20260418001	20.0
TD001	Cannot Login to App	I keep getting an error message when trying to log in on my desktop computer. Password reset did not help either.	2026-04-09T11:20	C104	SS001	High	CLOSED	Desktop Computer
TD002	Payment Gateway Not Responding	The payment page fails to load when I try to complete my purchase. This only happens on my mobile phone.	2026-04-09T13:40	C101	SS003	Critical	CLOSED	Mobile Phone
TD003	Booking Confirmation Email Not Received	I completed my booking and payment was taken, but I never received a confirmation email with my ticket details.	2026-04-09T15:30	C102	SS002	Medium	OPEN	Laptop
TD004	App Crashes on Seat Selection	Every time I try to select a seat on the seat map, the app crashes and returns to the home screen.	2026-04-13T10:15	C110	SS001	High	IN_PROGRESS	Mobile Phone
TD005	QR Code Not Scanning at Entrance	My digital ticket QR code is not being recognized by the scanner at the entrance. I am unable to enter.	2026-04-16T18:45	C103	SS003	Critical	OPEN	Mobile Phone
PR001	Website Crashes on Checkout	The entire booking system crashes every time I click the checkout button. I have lost my cart twice already.	2026-04-10T10:00	C101	SS001	Critical	CLOSED	The engineering team identified a memory leak in the checkout module. A hotfix was deployed at 15:00.
PR002	Purchased Tickets Not in Account	I completed payment for two tickets but they are not showing anywhere in my account. My bank shows the charge went through.	2026-04-10T11:30	C102	SS002	High	CLOSED	Verified payment was successful. Database sync issue caused the delay. Tickets manually linked to account.
PR003	Discount Code Not Applying	My discount code LOYALTY2026 is not being applied during checkout even though it should be valid until May.	2026-04-10T12:15	C103	SS003	Medium	IN_PROGRESS	UNDETERMINED
PR004	Search Filter Not Working	The filter for movie genre on the browse page is not working. Selecting Action shows results from all genres.	2026-04-10T14:45	C104	SS002	Low	OPEN	UNDETERMINED
PR005	Profile Picture Upload Failing	Every time I try to upload a new profile picture, the system returns a file format error even for JPG files.	2026-04-13T09:00	C109	SS001	Low	OPEN	UNDETERMINED
PR006	Newsletter Unsubscribe Not Working	I have clicked the unsubscribe link in emails multiple times but I am still receiving promotional emails.	2026-04-14T16:30	C111	SS003	Low	IN_PROGRESS	Investigated the mailing list system. The unsubscribe endpoint had a bug. Fix deployed and user removed from list.
PR007	Double Booking on Same Date	I received two separate booking confirmations for the same seat on the same date. This must be a system error.	2026-04-15T09:00	C112	SS002	High	CLOSED	Confirmed double booking due to session timeout race condition. One booking voided and refund initiated.
CR001	Seat Change Request - Concert April 25	I would like to move my seat reservation from Row C Seat 12 to the Orchestra section for the April 25 concert if available.	2026-04-09T09:30	C103	SS002	Medium	CLOSED	MVT-20260425-C12
CR002	Reschedule Tickets to Evening Show	I need to change my movie tickets from the 2 PM afternoon showing to the 7 PM evening showing on the same date.	2026-04-11T08:00	C101	SS003	Low	CLOSED	MVT-20260416-T1
CR003	Change Booking Date by One Week	My plans changed and I can no longer attend on April 20. Can I move my booking to April 27 for the same show?	2026-04-13T13:00	C104	SS001	Medium	OPEN	MVT-20260420-A3
TK001	How to Share Tickets with Friends	I would like to know how I can transfer or share my digital ticket with a friend who will be attending in my place.	2026-04-10T09:00	C101	UNASSIGNED	Low	OPEN
TK002	Group Booking Discount Enquiry	What discounts are available for group bookings? We have a company event coming up with approximately 30 attendees.	2026-04-10T13:20	C103	SS001	Low	CLOSED
TK003	Loyalty Points Balance Enquiry	I have been a member for two years but my loyalty points balance appears to be lower than expected. Can you check?	2026-04-12T10:45	C102	SS002	Low	OPEN
