RF001	2026-04-08T10:30:00	C101	Created refund ticket - Title: Refund Request - Cancelled Showing, Priority: High
RF001	2026-04-08T11:00:00	SS001	Assigned to handle refund request. Booking verified and refund approved.
RF001	2026-04-08T11:40:00	SS001	Refund processed to original payment method. Customer notified of 3-5 business day timeline.
RF001	2026-04-08T14:00:00	M001	Reviewed RF001. Refund case closed successfully. Positive handling noted.
RF002	2026-04-08T14:15:00	C102	Created refund ticket - Title: Duplicate Charge on Credit Card, Priority: Critical
RF002	2026-04-08T15:00:00	SS002	Duplicate charge confirmed. Immediate refund initiated for TXN20260407005.
RF002	2026-04-08T15:30:00	SS002	Refund fully processed. Payment team notified to investigate root cause.
RF002	2026-04-09T10:00:00	M001	RF002 escalated to IT. Payment gateway retry bug identified and patched.
RF003	2026-04-09T09:45:00	C103	Created refund ticket - Title: Broken Seat Refund Request, Priority: Medium
RF003	2026-04-09T10:30:00	SS001	Full refund processed. Seat C12 flagged for urgent maintenance. Complimentary RM50 credit added to customer account.
RF003	2026-04-09T11:15:00	SS001	Status updated to CLOSED. Customer confirmed satisfaction.
RF004	2026-04-12T08:30:00	C104	Created refund ticket - Title: Refund - Wrong Movie Booked, Priority: Medium
RF004	2026-04-12T09:15:00	SS002	Refund initiated for Interstellar tickets. Avatar seats secured for same date at 8 PM.
RF004	2026-04-12T09:50:00	SS002	Booking swap completed. New confirmation sent to customer. Ticket closed.
RF005	2026-04-14T11:20:00	C109	Created refund ticket - Title: Refund Request - Overcharged, Priority: Critical
RF005	2026-04-14T12:00:00	SS003	Critical billing error confirmed. RM410 overcharge identified. Escalated to billing team as urgent.
RF005	2026-04-14T13:30:00	M001	Overcharge confirmed as pricing system error. Refund of RM410 approved. Finance team processing.
RF006	2026-04-15T14:00:00	C101	Created refund ticket - Title: Refund - Event Postponed, Priority: Medium
RF006	2026-04-15T14:45:00	SS001	Postponement verified. Full refund processed as customer ineligible to attend July date.
RF007	2026-04-17T04:25:00	C111	Created refund ticket - Title: Refund for Wrong Seat Tier, Priority: High
RF007	2026-04-17T08:00:00	SS002	Seat allocation error confirmed. Partial refund for price difference being processed. Premium seat reserved for next show.
RF008	2026-04-18T02:05:00	C112	Created refund ticket - Title: Refund for Wrong Movie, Priority: High
TD001	2026-04-09T11:20:00	C104	Created technical difficulty ticket - Title: Cannot Login to App, Priority: High, Device: Desktop Computer
TD001	2026-04-09T12:00:00	SS001	Initial troubleshooting provided. Cache clear and browser change recommended.
TD001	2026-04-09T13:00:00	SS001	Account manually reset from backend. Temporary password sent to customer email.
TD001	2026-04-09T13:20:00	SS001	Customer confirmed successful login. Ticket closed.
TD002	2026-04-09T13:40:00	C101	Created technical difficulty ticket - Title: Payment Gateway Not Responding, Priority: Critical, Device: Mobile Phone
TD002	2026-04-09T14:30:00	SS003	Android compatibility issue identified. Mobile browser workaround provided to customer.
TD002	2026-04-09T15:30:00	SS003	Development team notified. Fix scheduled for deployment within 48 hours.
TD002	2026-04-09T16:00:00	SS003	Status updated to CLOSED. Customer confirmed workaround is functional.
TD003	2026-04-09T15:30:00	C102	Created technical difficulty ticket - Title: Booking Confirmation Email Not Received, Priority: Medium, Device: Laptop
TD003	2026-04-09T16:15:00	SS002	Booking confirmed in system. Email delivery failure identified. Confirmation email resent manually.
TD004	2026-04-13T10:15:00	C110	Created technical difficulty ticket - Title: App Crashes on Seat Selection, Priority: High, Device: Mobile Phone
TD004	2026-04-13T11:00:00	SS001	Crash reproduced on Android 14 with Samsung Galaxy S23. Bug logged with engineering team.
TD004	2026-04-13T12:00:00	SS001	Status updated to IN_PROGRESS. Customer notified that patch is in development.
TD005	2026-04-16T18:45:00	C103	Created technical difficulty ticket - Title: QR Code Not Scanning at Entrance, Priority: Critical, Device: Mobile Phone
