RF001	C101	Customer	2026-04-08T10:45:00	I purchased tickets for the April 8 showing of The Grand Illusion but the event was cancelled without any prior notice. I would like a full refund please.
RF001	SS001	Support Staff	2026-04-08T11:00:00	Hello John, I have reviewed your booking and confirmed that the event was indeed cancelled by the venue. I will process your full refund now.
RF001	C101	Customer	2026-04-08T11:20:00	Thank you for the quick response. How long will it take for the refund to appear in my account?
RF001	SS001	Support Staff	2026-04-08T11:40:00	Refunds typically take 3 to 5 business days to reflect. You will receive an email confirmation once processed. Please check with your bank if it does not appear within 7 days.
RF001	C101	Customer	2026-04-08T12:00:00	Understood. Appreciate the help!
RF001	M001	Manager	2026-04-08T14:00:00	Case RF001 reviewed. Refund approved and processed. Good customer handling noted for tommypark.
RF002	C102	Customer	2026-04-08T14:30:00	I was charged twice for the exact same booking! This is completely unacceptable. The second transaction is TXN20260407005.
RF002	SS002	Support Staff	2026-04-08T15:00:00	Hello Alex, I sincerely apologize for this error. I can see both charges in our system. I am initiating an immediate refund for the duplicate transaction.
RF002	C102	Customer	2026-04-08T15:15:00	Thank you. Please make sure this kind of error does not happen again.
RF002	SS002	Support Staff	2026-04-08T15:30:00	The refund has been processed. I have flagged this for our payment team to investigate. You should see it within 3 to 5 business days.
RF002	M001	Manager	2026-04-09T10:00:00	Reviewed RF002. Duplicate charge linked to a payment gateway retry bug. Escalated to IT for a permanent fix.
RF003	C103	Customer	2026-04-09T10:00:00	The seat in Row C Seat 12 was completely broken - the back was snapped off. I had to stand for most of the show. I want a refund.
RF003	SS001	Support Staff	2026-04-09T10:30:00	Hello Mike, I am very sorry to hear this. That is unacceptable. I will process a full refund and flag this seat for maintenance immediately.
RF003	C103	Customer	2026-04-09T10:50:00	I appreciate that. Any chance of some form of compensation beyond the refund for the terrible experience?
RF003	SS001	Support Staff	2026-04-09T11:15:00	Absolutely. I have added a complimentary ticket credit worth RM50 to your account as compensation. It expires in 90 days.
RF003	C103	Customer	2026-04-09T11:30:00	That is very generous, thank you so much! I will use it soon.
RF004	C104	Customer	2026-04-12T08:45:00	Hi, I accidentally bought tickets for Interstellar when I meant to buy Avatar. Can I get a refund or swap?
RF004	SS002	Support Staff	2026-04-12T09:15:00	Hello Sarah, no problem at all. I can process a refund for the Interstellar tickets. Would you also like me to check seat availability for Avatar on the same date?
RF004	C104	Customer	2026-04-12T09:30:00	Yes please! Same time if possible, 8 PM showing.
RF004	SS002	Support Staff	2026-04-12T09:50:00	Great news. I have secured you two seats for the Avatar 8 PM showing and initiated the refund for Interstellar. New booking confirmation has been sent to your email.
RF004	C104	Customer	2026-04-12T10:05:00	Perfect! You are amazing, thank you!
RF005	C109	Customer	2026-04-14T11:30:00	I just got charged RM500 for what should have been a RM90 ticket. This is a massive error! What happened?
RF005	SS003	Support Staff	2026-04-14T12:00:00	Hello Jason, I am very sorry about this. I can see the erroneous charge. This appears to be a pricing system error. I am escalating this immediately.
RF005	C109	Customer	2026-04-14T12:20:00	Please sort this out urgently. RM500 is a lot of money. I need this reversed today.
RF005	SS003	Support Staff	2026-04-14T13:00:00	I completely understand. I have escalated this to our billing team as urgent. You will receive a callback within 2 hours. The overcharge will be fully reversed.
